,ERR4043366,ERR4043596,ERR4043606,ERR4043608,ERR4043806,ERR4043582,ERR4043803,ERR4043792,ERR4043615,ERR4043412,ERR4042921,ERR4042849,ERR4042941,ERR4042883,ERR4043188,ERR4043086,ERR4042824,ERR4043299,ERR4042949,ERR4043295
ERR4043366,0.0,0.524401820434103,0.5202339723219807,0.4811583832620241,0.6459336591917421,0.4753048349623377,0.6078720439592246,0.519306120053729,0.401978630941535,0.560417003481224,0.2934354330028344,0.5077149961167664,0.5911551238072381,0.421488532919279,0.5948899957757027,0.6758590297436482,0.5192614629738883,0.35205091032742336,0.4080653000995425,0.4482174842184361
ERR4043596,0.524401820434103,0.0,0.5354532584001104,0.5132188122945524,0.508792861963409,0.44094644688503987,0.5141940445466664,0.418872415623784,0.3598821052143469,0.4694261279070083,0.5236399417321316,0.583366440500638,0.4887244105240144,0.4712206158071141,0.40454145332353375,0.3950938460855649,0.5074772960604147,0.5352459104732487,0.4756246982116828,0.3398102463268894
ERR4043606,0.5202339723219807,0.5354532584001104,0.0,0.6843942634670321,0.6430547055024579,0.5999546482234228,0.5937769971031516,0.4081269002037996,0.52081866332748,0.5902162337857872,0.6104276618621791,0.6230830673206172,0.5292021415018986,0.5068572924491814,0.6352847804677781,0.4575742758800962,0.5412388196445971,0.6465875847555063,0.568630865248222,0.40276098438583646
ERR4043608,0.4811583832620241,0.5132188122945524,0.6843942634670321,0.0,0.6665263060678868,0.5313447934601679,0.6582066484065422,0.5844535800476016,0.5080586966301592,0.5548522700917365,0.5014803105574187,0.7051349962831418,0.6513594377240419,0.4574987386665197,0.48589671187492184,0.6254981264252618,0.5749475167521465,0.544682410228591,0.48986107167195714,0.5919887707940665
ERR4043806,0.6459336591917421,0.508792861963409,0.6430547055024579,0.6665263060678868,0.0,0.5754535502297526,0.3750411634929015,0.5326982507779743,0.606624385020519,0.41121077795478134,0.684203506849589,0.7610984398902043,0.5247061427555403,0.5755196341689228,0.401052744620685,0.48713793757751955,0.46507571162706035,0.7549232983117973,0.6486889442526711,0.519942955813284
ERR4043582,0.4753048349623377,0.44094644688503987,0.5999546482234228,0.5313447934601679,0.5754535502297526,0.0,0.5983490827046226,0.5834613693865652,0.3921573081348473,0.5286051224417868,0.4124841040988597,0.5845872234903142,0.5585348993315147,0.5709268830743306,0.5055849528897558,0.5878503315674625,0.6096000196543163,0.5360546479969228,0.4943456881246939,0.45078416908755925
ERR4043803,0.6078720439592246,0.5141940445466664,0.5937769971031516,0.6582066484065422,0.3750411634929015,0.5983490827046226,0.0,0.4245369531169734,0.5160196907890054,0.51555423716359,0.6435831928472883,0.746039393030797,0.5895775446189859,0.479917217012484,0.5156204294532072,0.5343706356053278,0.47836613963764746,0.7083150249719676,0.5784439568237565,0.477732495281985
ERR4043792,0.519306120053729,0.418872415623784,0.4081269002037996,0.5844535800476016,0.5326982507779743,0.5834613693865652,0.4245369531169734,0.0,0.473506654726848,0.49585639338451903,0.5909258260734338,0.6416990409117679,0.5392564228032719,0.35402197869030305,0.5600924551438105,0.45442007578983473,0.4716940080139259,0.6349088141648784,0.46557287068609426,0.44237226002962654
ERR4043615,0.401978630941535,0.3598821052143469,0.52081866332748,0.5080586966301592,0.606624385020519,0.3921573081348473,0.5160196907890054,0.473506654726848,0.0,0.5179388743250904,0.419468650141774,0.478657630043298,0.5060696767188608,0.4634390631391664,0.5280069367122281,0.4262034951314138,0.5698613293301463,0.45372960666989004,0.3823504982323689,0.34737449404495185
ERR4043412,0.560417003481224,0.4694261279070083,0.5902162337857872,0.5548522700917365,0.41121077795478134,0.5286051224417868,0.51555423716359,0.49585639338451903,0.5179388743250904,0.0,0.6198584358378509,0.718028727086392,0.4439164528981957,0.4692432981782465,0.3348238336593022,0.44580361412796493,0.4894749264651302,0.7154199286518305,0.5746117598511414,0.4618238017309681
ERR4042921,0.2934354330028344,0.5236399417321316,0.6104276618621791,0.5014803105574187,0.684203506849589,0.4124841040988597,0.6435831928472883,0.5909258260734338,0.419468650141774,0.6198584358378509,0.0,0.4329358170596695,0.6098388427007196,0.524417050250147,0.5540028911573479,0.7056945171088065,0.5066444893822085,0.35718420820609514,0.4387063715529133,0.44727707820442064
ERR4042849,0.5077149961167664,0.583366440500638,0.6230830673206172,0.7051349962831418,0.7610984398902043,0.5845872234903142,0.746039393030797,0.6416990409117679,0.478657630043298,0.718028727086392,0.4329358170596695,0.0,0.6663757209611182,0.6506397596063399,0.7392447333361376,0.6640779608962875,0.6967320593567814,0.4511316451620556,0.5399937404713528,0.48809081976589663
ERR4042941,0.5911551238072381,0.4887244105240144,0.5292021415018986,0.6513594377240419,0.5247061427555403,0.5585348993315147,0.5895775446189859,0.5392564228032719,0.5060696767188608,0.4439164528981957,0.6098388427007196,0.6663757209611182,0.0,0.5575346833154045,0.48072492175010917,0.4517101678454815,0.5316529613899045,0.724023671537938,0.6011661648938612,0.4632681008751897
ERR4042883,0.421488532919279,0.4712206158071141,0.5068572924491814,0.4574987386665197,0.5755196341689228,0.5709268830743306,0.479917217012484,0.35402197869030305,0.4634390631391664,0.4692432981782465,0.524417050250147,0.6506397596063399,0.5575346833154045,0.0,0.4995439535532508,0.48142075805401024,0.496757889550541,0.4752327334400733,0.4530242681207925,0.43273791261180605
ERR4043188,0.5948899957757027,0.40454145332353375,0.6352847804677781,0.48589671187492184,0.401052744620685,0.5055849528897558,0.5156204294532072,0.5600924551438105,0.5280069367122281,0.3348238336593022,0.5540028911573479,0.7392447333361376,0.48072492175010917,0.4995439535532508,0.0,0.45816100001265797,0.4283805307962216,0.6492379029435159,0.5422048093397975,0.46637414804077604
ERR4043086,0.6758590297436482,0.3950938460855649,0.4575742758800962,0.6254981264252618,0.48713793757751955,0.5878503315674625,0.5343706356053278,0.45442007578983473,0.4262034951314138,0.44580361412796493,0.7056945171088065,0.6640779608962875,0.4517101678454815,0.48142075805401024,0.45816100001265797,0.0,0.5356634167412624,0.6804715909441792,0.599932598445269,0.40825587812074693
ERR4042824,0.5192614629738883,0.5074772960604147,0.5412388196445971,0.5749475167521465,0.46507571162706035,0.6096000196543163,0.47836613963764746,0.4716940080139259,0.5698613293301463,0.4894749264651302,0.5066444893822085,0.6967320593567814,0.5316529613899045,0.496757889550541,0.4283805307962216,0.5356634167412624,0.0,0.6464598303690734,0.5309079693191606,0.44955687059094984
ERR4043299,0.35205091032742336,0.5352459104732487,0.6465875847555063,0.544682410228591,0.7549232983117973,0.5360546479969228,0.7083150249719676,0.6349088141648784,0.45372960666989004,0.7154199286518305,0.35718420820609514,0.4511316451620556,0.724023671537938,0.4752327334400733,0.6492379029435159,0.6804715909441792,0.6464598303690734,0.0,0.46571788956934757,0.5169795131475686
ERR4042949,0.4080653000995425,0.4756246982116828,0.568630865248222,0.48986107167195714,0.6486889442526711,0.4943456881246939,0.5784439568237565,0.46557287068609426,0.3823504982323689,0.5746117598511414,0.4387063715529133,0.5399937404713528,0.6011661648938612,0.4530242681207925,0.5422048093397975,0.599932598445269,0.5309079693191606,0.46571788956934757,0.0,0.4688130422228575
ERR4043295,0.4482174842184361,0.3398102463268894,0.40276098438583646,0.5919887707940665,0.519942955813284,0.45078416908755925,0.477732495281985,0.44237226002962654,0.34737449404495185,0.4618238017309681,0.44727707820442064,0.48809081976589663,0.4632681008751897,0.43273791261180605,0.46637414804077604,0.40825587812074693,0.44955687059094984,0.5169795131475686,0.4688130422228575,0.0
